tree,d,insertion_time,split_count,redistribution_count,two_to_three_split_count,height,node_count,node_utilization,search_found_count,search_total_time,search_mean_time,range_matched_male_count,range_avg_gpa,range_avg_height,range_query_time,deleted_count,deleted_not_found_count,deletion_time,height_after_deletion,node_count_after_deletion,node_utilization_after_deletion
B-tree,3,0.283248799998546,31365,,,8,31374,0.6374705169885893,10000,0.037078100023791194,3.707810002379119e-06,7215,3.27847401247399,174.05754677754678,0.042741899989778176,2000,2000,0.012764499988406897,7,30820,0.6359506813757301
B-tree,5,0.2675656999927014,16591,,,5,16597,0.6694650304941321,10000,0.03197780001210049,3.197780001210049e-06,7215,3.27847401247399,174.05754677754678,0.031875799992121756,2000,2000,0.009138199995504692,5,16508,0.6596128476428936
B-tree,10,0.28660669998498634,7709,,,4,7714,0.6822864784465702,10000,0.037807100015925243,3.7807100015925244e-06,7215,3.27847401247399,174.05754677754678,0.026062199991429225,2000,2000,0.009743800008436665,4,7701,0.6697694762812758
B+tree,3,0.31114129998604767,38546,,,8,38555,0.6669070159512385,10000,0.03442340000765398,3.4423400007653983e-06,7215,3.27847401247399,174.05754677754678,0.01415659999474883,2000,2000,0.03718369998387061,8,38535,0.6567743609705463
B+tree,5,0.3024940000032075,18539,,,5,18545,0.6934363859680657,10000,0.031499699980486184,3.1499699980486186e-06,7215,3.27847401247399,174.05754677754678,0.012014900014037266,2000,2000,0.030411899992031977,5,18542,0.6815457999256942
B+tree,10,0.2734766000066884,8102,,,4,8107,0.6979608265761233,10000,0.031252299988409504,3.1252299988409503e-06,7215,3.27847401247399,174.05754677754678,0.012360099994111806,2000,2000,0.029981100000441074,4,8106,0.6850546054254808
B*tree,3,0.40272089999052696,26037,48641,13501,7,26045,0.7679017085813016,10000,0.03479410000727512,3.479410000727512e-06,7215,3.27847401247399,174.05754677754678,0.03403579999576323,2000,2000,0.010140400001546368,7,25956,0.7551240560949298
B*tree,5,0.3381500999967102,13736,38673,7862,5,13742,0.8085512378919452,10000,0.03416270000161603,3.416270000161603e-06,7215,3.27847401247399,174.05754677754678,0.031338200002210215,2000,2000,0.008290099998703226,5,13727,0.7932460762649441
B*tree,10,0.37002999999094754,6285,27961,3795,4,6290,0.8367500627562547,10000,0.03646269999444485,3.6462699994444846e-06,7215,3.27847401247399,174.05754677754678,0.020384300005389377,2000,2000,0.009875100018689409,4,6289,0.8201454502849587
